iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-purpose-wa/groundwater-production,groundwater production,,"A borehole drilled or altered for the purpose of groundwater abstraction, whether for domestic use, agricultural use or in support of resource infrastructure (e.g. mineral holes, petroleum wells, mines, refineries). Production boreholes are often drilled in sets, known as fields, and can be in close association with exploration and/or monitoring water bores.","water production|water supply",https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/hazard-identification-mapping,hazard identification/mapping,,"An exploratory borehole drilled to identify rock voids, and any other relevant changes in conditions of the earth before drilling, mining, tunnelling or construction commences.",,https://linked.data.gov.au/def/borehole-purpose-wa/foundation-construction,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/foundation-construction,foundation/construction,,"Drilling to assess the stability and conditions of rocks in the substrate prior to foundation and construction activities. This drilling aims to differentiate between solid basement and rock detached (floating) from the basement, as well as boring large holes deep into the ground in order to insert structures (e.g. piles, piers, or caissons) that are used to build a foundation for a construction project.",,,https://linked.data.gov.au/def/borehole-purpose-wa/hazard-identification-mapping,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/in-situ-leaching-storage,in-situ leaching (storage),,"A borehole drilled for the purpose of in-situ leaching (ISL) or solution mining of salt dome structures, specifically to create a cavern suitable for temporary storage of non-aqueous gases. Salt caverns are formed by pumping fresh water to dissolve the salt and removing the resulting brine via a single well, which then serves for gas injection and withdrawal. For storing non-aqueous gases such as hydrogen and carbon dioxide, the caverns are usually at depths of at least a few hundred metres.",ISL,https://linked.data.gov.au/def/borehole-purpose-wa/transient-storage-gases,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/transient-storage-gases,transient storage - gases,,A well used to inject and subsequently recover natural gas or other gaseous material (e.g. manufactured hydrogen) into/from subsurface rock formations.,temporary storage,https://linked.data.gov.au/def/borehole-purpose-wa/storage,https://linked.data.gov.au/def/borehole-purpose-wa/in-situ-leaching-storage,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/managed-aquifer-recharge,managed aquifer recharge,,"A borehole drilled for the intentional recharge of an aquifer under controlled conditions for subsequent recovery, demonstrable environmental benefit, or mitigation of the impacts of abstraction. This recharge must be an additional contribution to an aquifer, not a return of abstracted water.",,https://linked.data.gov.au/def/borehole-purpose-wa/reinjection-hydrogeology,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/reinjection-hydrogeology,reinjection (hydrogeology),,A borehole drilled for the purpose of pumping water back into an aquifer.,,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,https://linked.data.gov.au/def/borehole-purpose-wa/managed-aquifer-recharge,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/materials-characterization,materials characterization,,"A borehole drilled to identify the physical and geochemical properties of materials and whether they have the potential to cause environmental harm and/or contribute to, or detract from, the success of rehabilitation and closure. This drilling focuses on identification of fibrous materials, radioactive materials, materials capable of generating acid and/or metalliferous drainage (including neutral drainage and saline drainage), and dispersive and/or erosive material.",materials characterisation,https://linked.data.gov.au/def/borehole-purpose-wa/environmental,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/metallurgical,metallurgical,,"A borehole drilled to obtain samples for metallurgical test work, i.e. to understand the properties of metals and their production and purification.",,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/observation-fluid-energy,observation (fluid energy),,"A service well drilled with the purpose of monitoring the movement of gases and liquids in the subsurface, formation pressure and temperature, seismicity, and injected CO2 plumes.",,https://linked.data.gov.au/def/borehole-purpose-wa/service-fluid-energy,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/paste-fill,paste fill,,"A cased borehole drilled for paste filling (or cemented back filling) in an underground mine, i.e. to backfill underground mine stopes and/or drives to facilitate removal of remnant ore material while retaining geotechnical stability.","cemented back filling|paste filling|paste-fill",https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/permanent-storage,permanent storage,,"A well drilled to inject fluids (e.g. CO₂) into deep subsurface rock formations for long-term storage. The process is also referred to as geosequestration (GS) in general, or more specifically as 'carbon capture and storage' (CCS) in the case of CO₂ or 'greenhouse gas storage' (GHG). Fluids are commonly captured from an industrial (e.g. steel and cement production) or energy-related source (e.g. a power plant or natural gas processing facility).",geosequestration,https://linked.data.gov.au/def/borehole-purpose-wa/storage,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/storage,storage,,"A borehole/well drilled to examine the subsurface's ability to accommodate the temporary / permanent storage of gases and liquids, and to implement such storage.",,,"https://linked.data.gov.au/def/borehole-purpose-wa/transient-storage-gases|https://linked.data.gov.au/def/borehole-purpose-wa/permanent-storage|https://linked.data.gov.au/def/borehole-purpose-wa/transient-storage-liquids",,https://linked.data.gov.au/def/borehole-purpose-wa
